Time,IDirNorm,WindVel
5759,0,3.399426422
5760,0,4.102340795
5761,0,4.598532375
5762,0,5.201096038
5763,0,5.703691787
5764,0,5.200346142
5765,0,4.600630392
5766,0,4.1
5767,0,4.094142157
5768,160,4.095912597
5769,473,4.096644969
5770,281,4.596444278
5771,127,5.203892774
5772,29,5.703691787
5773,60,5.896778782
5774,130,6.001008249
5775,222,6.203490953
5776,103,6.197241322
5777,73,6.201935182
5778,0,6.2
5779,0,6.000966589
5780,0,5.898915155
5781,0,5.703691787
5782,0,4.002024488
5783,0,2.194014585
5784,0,0.49979996
5785,0,1
5786,0,1.6
5787,0,2.097450834
5788,0,2.094015282
5789,0,2.094015282
5790,0,2.097450834
5791,0,1.601311962
5792,31,0.997246208
5793,62,0.49979996
5794,101,1.500833102
5795,187,2.602498799
5796,164,3.59684584
5797,348,3.4006617
5798,529,3.301938824
5799,742,3.1
5800,363,3.301938824
5801,155,3.4006617
5802,9,3.59684584
5803,0,3.095948966
5804,0,2.597883754
5805,0,2.101094953
5806,0,1.697439248
5807,0,1.398427689
5808,0,1
5809,0,0.703278039
5810,0,0.30016662
5811,0,0
5812,0,0.699213844
5813,0,1.40064271
5814,0,2.101094953
5815,0,2.101903899
5816,0,2.095709904
5817,33,2.1
5818,28,2.402040799
5819,29,2.796855377
5820,67,3.097046981
5821,108,3.29953027
5822,160,3.394362974
5823,223,3.59684584
5824,100,3.402028806
5825,41,3.302029679
5826,0,3.097046981
5827,0,2.796587206
5828,0,2.396413988
5829,0,2.1
5830,0,1.704846034
5831,0,1.402283851
5832,0,1.00124922
5833,0,3.29953027
5834,0,2.903377344
5835,0,2.597883754
5836,0,1.902629759
5837,0,1.199708298
5838,0,0.496789694
5839,0,0.702922471
5840,218,0.795110055
5841,482,1.00124922
5842,469,1.40064271
5843,339,1.699411663
5844,234,2.097450834
5845,197,2.90396281
5846,313,3.799328888
5847,351,4.596444278
5848,422,3.896793554
5849,423,3.300439365
5850,302,2.597883754
5851,0,2.202203442
5852,0,1.900657781
5853,0,1.49939988
5854,0,1.199708298
5855,0,0.802309167
5856,0,0.49979996
5857,0,0.795110055
5858,0,1.198206994
5859,0,1.49939988
5860,0,1.5
5861,0,1.5
5862,0,1.49939988
5863,0,1.502664301
5864,0,1.498032042
5865,3,1.49939988
5866,7,2.199386278
5867,8,2.89794755
5868,12,3.59684584
5869,61,3.299712109
5870,235,2.90203377
5871,526,2.6
5872,213,2.900379286
5873,73,3.295481755
5874,0,3.599124894
5875,0,2.704163457
5876,0,1.902629759
5877,0,1.00124922
5878,0,1.004041832
5879,0,0.997296345
5880,0,0.99959992
5881,0,0.797119815
5882,0,0.702281995
5883,0,0.49979996
5884,0,0.699213844
5885,0,0.8
5886,0,1
5887,0,1.49966663
5888,0,2.103425777
5889,0,2.597883754
5890,0,2.598807419
5891,2,2.598326384
5892,4,2.597248544
5893,4,1.904363411
5894,4,1.202081528
5895,2,0.49979996
5896,0,0.702281995
5897,0,0.797119815
5898,0,0.99959992
5899,0,1.49966663
5900,0,2.100904567
5901,0,2.6
5902,0,2.396413988
5903,0,2.301847084
5904,0,2.097450834
5905,0,1.597654531
5906,0,0.99959992
5907,0,0.49979996
5908,0,0.800499844
5909,0,1.198206994
5910,0,1.5
5911,0,2.2
5912,0,2.9
5913,0,3.6
5914,0,3.604552677
5915,4,3.597068251
5916,12,3.59684584
5917,4,3.894162298
5918,3,4.299127819
5919,2,4.596444278
5920,0,3.896074948
5921,0,3.301938824
5922,0,2.597248544
5923,0,2.597383299
5924,0,2.597383299
5925,0,2.597248544
5926,0,2.795782538
5927,0,2.896204413
5928,0,3.094672842
5929,0,3.604552677
5930,0,4.101536298
5931,0,4.6
5932,0,5.597865665
5933,0,6.701708737
5934,0,7.702889068
5935,0,7.203089615
5936,0,6.703290237
5937,0,6.203490953
5938,0,5.496626238
5939,2,4.801885047
5940,4,4.1
5941,4,3.399544087
5942,4,2.801428207
5943,2,2.097450834
5944,0,2.298390741
5945,0,2.399416596
5946,0,2.597883754
5947,0,2.201681176
5948,0,1.9
5949,0,1.49939988
5950,0,1.502664301
5951,0,1.498032042
5952,0,1.49939988
5953,0,1.701881312
5954,0,1.904363411
5955,0,2.097450834
5956,0,1.603776792
5957,0,0.994635612
5958,0,0.496789694
5959,0,0.498196748
5960,0,0.49979996
5961,0,0.496789694
5962,1,0.702281995
5963,3,0.802309167
5964,2,1.00124922
5965,4,1.701881312
5966,10,2.397081559
5967,23,3.094672842
5968,52,3.29953027
5969,98,3.4
5970,37,3.59684584
5971,0,3.29953027
5972,0,2.90396281
5973,0,2.597248544
5974,0,2.597248544
5975,0,2.597248544
5976,0,2.597248544
5977,0,2.094015282
5978,0,1.5
5979,0,0.99959992
5980,0,1.2
5981,0,1.3
5982,0,1.49939988
5983,0,1.199208072
5984,192,0.8
5985,424,0.5
5986,283,0.501597448
5987,112,0.495176736
5988,29,0.49979996
5989,61,0.997246208
5990,133,1.601311962
5991,165,2.097450834
5992,304,1.904363411
5993,375,1.701881312
5994,191,1.49939988
5995,0,1.298691649
5996,0,1.198206994
5997,0,0.99959992
5998,0,1.400714104
5999,0,1.697792685
6000,0,2.1
6001,0,1.902761152
6002,0,1.695464538
6003,0,1.49939988
6004,0,1.3
6005,0,1.2
6006,0,0.99959992
6007,0,1
6008,5,1
6009,81,0.99959992
6010,31,1.00448992
6011,25,1.003194896
6012,17,1
