datetime,timestamp,zone_name,total_consumption_avg,power_production_biomass_avg,power_production_coal_avg,power_production_gas_avg,power_production_hydro_avg,power_production_nuclear_avg,power_production_oil_avg,power_production_solar_avg,power_production_wind_avg,power_production_geothermal_avg,power_production_unknown_avg
2019-03-11 04:00:00,1552276800,KR,56996.66547297583,713.4107428484867,24073.944305069443,15214.165184981288,574.4158930961748,14949.096434282492,384.6672318360995,0.0,2.5304643053053053,0.0,1084.4352165565306
2019-03-11 05:00:00,1552280400,KR,60856.62024053717,713.4107428484867,26405.041174608457,16687.363443892737,630.0369858943327,14949.096434282492,384.6672318360995,0.0,2.5690106180400623,0.0,1084.4352165565306
2019-03-11 06:00:00,1552284000,KR,67481.37555519049,713.4107428484867,30405.87636008025,19215.79694935845,725.4988382219317,14949.096434282492,384.6672318360995,0.0,2.593782006252595,0.0,1084.4352165565306
2019-03-11 07:00:00,1552287600,KR,71920.91744563187,713.4107428484867,33087.03349639428,20910.225043145445,789.4725373993739,14949.096434282492,384.6672318360995,0.0,2.5767431691587346,0.0,1084.4352165565306
2019-03-11 08:00:00,1552291200,KR,72149.0,713.4107428484867,33219.968999051096,20994.237146469262,792.6444424480501,14949.096434282492,384.6672318360995,0.0,10.539786507979478,0.0,1084.4352165565306
2019-03-11 09:00:00,1552294800,KR,70977.56033319503,713.4107428484867,32497.32631341631,20537.544007628236,775.4018403053296,14949.096434282492,384.6672318360995,0.0,35.678546321531776,0.0,1084.4352165565306
2019-03-11 10:00:00,1552298400,KR,69527.54324412023,713.4107428484867,31601.106295857717,19971.154087620318,754.0175995148338,14949.096434282492,384.6672318360995,0.0,69.65563560374319,0.0,1084.4352165565306
2019-03-11 11:00:00,1552302000,KR,67972.08584923838,713.4107428484867,30661.75595277361,19377.506818807753,731.604248407295,14949.096434282492,384.6672318360995,0.0,69.6092037261199,0.0,1084.4352165565306
2019-03-11 12:00:00,1552305600,KR,66625.61235908345,713.4107428484867,29785.40504222393,18823.67370595536,710.6940940690615,14949.096434282492,384.6672318360995,104.19777700285496,70.03211430863287,0.0,1084.4352165565306
2019-03-11 13:00:00,1552309200,KR,65632.80330586655,713.4107428484867,29081.33706619803,18378.719345632366,693.8946934339039,14949.096434282492,384.6672318360995,277.8607386742799,69.38183640435798,0.0,1084.4352165565306
2019-03-11 14:00:00,1552312800,KR,64557.481895922545,713.4107428484867,27024.54779578927,17078.877021742537,644.8187119204097,14949.096434282492,384.6672318360995,2535.479240402804,142.14950054390906,0.0,1084.4352165565306
2019-03-11 15:00:00,1552316400,KR,63752.907357228956,713.4107428484867,25358.905434551983,16026.230321981331,605.0756838405673,14949.096434282492,384.6672318360995,4411.039226454193,220.0470648772696,0.0,1084.4352165565306
2019-03-11 16:00:00,1552320000,KR,63758.04648341831,713.4107428484867,22004.1311364599,13906.092064506225,525.0291551058112,14949.096434282492,384.6672318360995,9829.323630602652,361.86087122011367,0.0,1084.4352165565306
2019-03-11 17:00:00,1552323600,KR,64354.68453021469,713.4107428484867,23225.482698995278,14677.957454982985,554.1711909802744,14949.096434282492,384.6672318360995,8023.228829219831,742.2347305127075,0.0,1084.4352165565306
2019-03-11 18:00:00,1552327200,KR,65385.89348719426,713.4107428484867,26554.487433619714,16781.809955941695,633.6028455329529,14949.096434282492,384.6672318360995,3056.4681254170787,1227.9155011592022,0.0,1084.4352165565306
2019-03-11 19:00:00,1552330800,KR,68347.55082729977,713.4107428484867,29445.332079174263,18608.75561155343,702.579789561557,14949.096434282492,384.6672318360995,451.5237003457048,2007.7500211411968,0.0,1084.4352165565306
2019-03-11 20:00:00,1552334400,KR,70170.32053630165,713.4107428484867,31660.330123853604,20008.58215053341,755.4307085434058,14949.096434282492,384.6672318360995,0.0,614.3679278476243,0.0,1084.4352165565306
2019-03-11 21:00:00,1552338000,KR,68510.06877757197,713.4107428484867,30986.51379373333,19582.74611714901,739.3531267336266,14949.096434282492,384.6672318360995,0.0,69.84611443238398,0.0,1084.4352165565306
2019-03-11 22:00:00,1552341600,KR,65351.57557775715,713.4107428484867,29121.205030757967,18403.91495922678,694.8459622487861,14949.096434282492,384.6672318360995,0.0,0.0,0.0,1084.4352165565306
2019-03-11 23:00:00,1552345200,KR,61909.559462547324,713.4107428484867,27033.40174164213,17084.47250676307,645.0299713280933,14949.096434282492,384.6672318360995,0.0,15.045617290408531,0.0,1084.4352165565306
2019-03-12 00:00:00,1552348800,KR,57354.309132935516,713.4107428484867,24279.447015467376,15344.038052606775,579.319286633646,14949.096434282492,384.6672318360995,0.0,19.895152704110213,0.0,1084.4352165565306
2019-03-12 01:00:00,1552352400,KR,56455.83648763053,710.2130869725252,23752.435635125003,15010.979286112686,566.7445415534447,14882.091463397788,382.9430730026352,0.0,70.8548499294384,0.0,1079.574551536999
2019-03-12 02:00:00,1552356000,KR,56264.33304737958,710.2130869725252,23636.911138010324,14937.970527774542,563.9880714734402,14882.091463397788,382.9430730026352,0.0,70.64113521133186,0.0,1079.574551536999
